Country,count,Chart_Type
PS,36,Billboard_chart
ME,36,Billboard_chart
MD,37,Billboard_chart
XK,37,Billboard_chart
RS,37,Billboard_chart
KZ,37,Billboard_chart
JO,38,Billboard_chart
AL,38,Billboard_chart
BA,38,Billboard_chart
LI,38,Billboard_chart
MK,38,Billboard_chart
BY,38,Billboard_chart
JP,39,Billboard_chart
MC,39,Billboard_chart
AD,39,Billboard_chart
TN,39,Billboard_chart
MA,40,Billboard_chart
LU,40,Billboard_chart
OM,40,Billboard_chart
LB,40,Billboard_chart
QA,40,Billboard_chart
SA,40,Billboard_chart
UY,40,Billboard_chart
IN,40,Billboard_chart
IE,40,Billboard_chart
HR,40,Billboard_chart
GB,40,Billboard_chart
KW,40,Billboard_chart
BH,40,Billboard_chart
EG,40,Billboard_chart
AE,40,Billboard_chart
CH,40,Billboard_chart
AT,40,Billboard_chart
DE,40,Billboard_chart
DZ,40,Billboard_chart
MY,41,Billboard_chart
PH,41,Billboard_chart
BE,41,Billboard_chart
RU,41,Billboard_chart
SE,41,Billboard_chart
DK,41,Billboard_chart
IT,41,Billboard_chart
SG,41,Billboard_chart
TH,41,Billboard_chart
ID,41,Billboard_chart
TR,41,Billboard_chart
TW,41,Billboard_chart
FR,41,Billboard_chart
UA,41,Billboard_chart
VN,41,Billboard_chart
HK,41,Billboard_chart
NO,42,Billboard_chart
NZ,42,Billboard_chart
PL,42,Billboard_chart
PT,42,Billboard_chart
SI,42,Billboard_chart
RO,42,Billboard_chart
SK,42,Billboard_chart
BG,42,Billboard_chart
NL,42,Billboard_chart
FI,42,Billboard_chart
ES,42,Billboard_chart
GR,42,Billboard_chart
EE,42,Billboard_chart
HU,42,Billboard_chart
IL,42,Billboard_chart
IS,42,Billboard_chart
CZ,42,Billboard_chart
LT,42,Billboard_chart
LV,42,Billboard_chart
CY,42,Billboard_chart
ZA,42,Billboard_chart
MT,42,Billboard_chart
BO,43,Billboard_chart
AR,43,Billboard_chart
EC,43,Billboard_chart
CL,43,Billboard_chart
PE,43,Billboard_chart
PY,43,Billboard_chart
BR,43,Billboard_chart
AU,43,Billboard_chart
CO,43,Billboard_chart
PA,44,Billboard_chart
NI,44,Billboard_chart
HN,44,Billboard_chart
GT,44,Billboard_chart
DO,44,Billboard_chart
SV,44,Billboard_chart
CR,46,Billboard_chart
CA,48,Billboard_chart
MX,48,Billboard_chart
US,50,Billboard_chart
BY,47,Spotify_chart
DE,47,Spotify_chart
AT,47,Spotify_chart
SE,47,Spotify_chart
CH,47,Spotify_chart
PA,48,Spotify_chart
OM,48,Spotify_chart
NZ,48,Spotify_chart
NO,48,Spotify_chart
NL,48,Spotify_chart
NI,48,Spotify_chart
MY,48,Spotify_chart
AD,48,Spotify_chart
MX,48,Spotify_chart
MT,48,Spotify_chart
MK,48,Spotify_chart
ME,48,Spotify_chart
MD,48,Spotify_chart
MC,48,Spotify_chart
MA,48,Spotify_chart
LV,48,Spotify_chart
LU,48,Spotify_chart
LT,48,Spotify_chart
PE,48,Spotify_chart
PH,48,Spotify_chart
PT,48,Spotify_chart
PS,48,Spotify_chart
VN,48,Spotify_chart
UY,48,Spotify_chart
UA,48,Spotify_chart
TW,48,Spotify_chart
TR,48,Spotify_chart
TN,48,Spotify_chart
TH,48,Spotify_chart
SV,48,Spotify_chart
PL,48,Spotify_chart
SK,48,Spotify_chart
SG,48,Spotify_chart
SA,48,Spotify_chart
RU,48,Spotify_chart
RS,48,Spotify_chart
RO,48,Spotify_chart
QA,48,Spotify_chart
PY,48,Spotify_chart
LI,48,Spotify_chart
SI,48,Spotify_chart
LB,48,Spotify_chart
KW,48,Spotify_chart
XK,48,Spotify_chart
DO,48,Spotify_chart
DK,48,Spotify_chart
CZ,48,Spotify_chart
CY,48,Spotify_chart
CR,48,Spotify_chart
CO,48,Spotify_chart
CL,48,Spotify_chart
CA,48,Spotify_chart
DZ,48,Spotify_chart
BR,48,Spotify_chart
BH,48,Spotify_chart
BG,48,Spotify_chart
BE,48,Spotify_chart
BA,48,Spotify_chart
AU,48,Spotify_chart
AR,48,Spotify_chart
AL,48,Spotify_chart
AE,48,Spotify_chart
BO,48,Spotify_chart
KZ,48,Spotify_chart
EC,48,Spotify_chart
EG,48,Spotify_chart
JP,48,Spotify_chart
JO,48,Spotify_chart
IT,48,Spotify_chart
IS,48,Spotify_chart
IN,48,Spotify_chart
IL,48,Spotify_chart
IE,48,Spotify_chart
ID,48,Spotify_chart
EE,48,Spotify_chart
HU,48,Spotify_chart
HN,48,Spotify_chart
HK,48,Spotify_chart
GT,48,Spotify_chart
GR,48,Spotify_chart
GB,48,Spotify_chart
FR,48,Spotify_chart
FI,48,Spotify_chart
ES,48,Spotify_chart
HR,48,Spotify_chart
ZA,48,Spotify_chart
US,49,Spotify_chart
